Open,High,Low,Close,Volume,Symbol
14.3275,14.4165,14.225,14.241,48457120.0,AMZN
163.486,164.419,163.054,164.214,48501720.0,AMZN
31.2675,31.882,31.248,31.7675,72090940.0,AMZN
172.0,172.1,169.13,169.568,62169000.0,AMZN
71.975,72.606,71.753,72.425,62700540.0,AMZN
14.6295,14.668,14.3195,14.472,83567140.0,AMZN
166.445,166.495,162.954,162.998,59965780.0,AMZN
15.2365,15.64,14.9665,15.589,171571280.0,AMZN
8.971,8.9745,8.7875,8.7965,107737700.0,AMZN
49.8405,50.422,49.62,50.0465,81671800.0,AMZN
162.1,162.4,160.985,161.154,46630180.0,AMZN
41.965,42.1545,41.661,41.759,63698540.0,AMZN
14.0035,14.15,13.9665,14.079,29149220.0,AMZN
35.2125,35.3,34.821,34.8375,40213260.0,AMZN
150.01,160.068,149.701,159.842,151963520.0,AMZN
120.85,121.022,119.1,120.511,76635940.0,AMZN
168.74,170.42,167.17,169.51,48107744.0,AMZN
12.2435,12.2885,12.104,12.197,44082860.0,AMZN
35.829,35.85,35.3782,35.53,32082260.0,AMZN
157.682,159.79,156.15,156.25,112261960.0,AMZN
38.497,38.6875,38.456,38.562,29223700.0,AMZN
13.51,13.715,13.3185,13.3205,70613120.0,AMZN
12.5065,12.65,12.433,12.6245,62323440.0,AMZN
121.57,122.84,118.08,122.28,82245543.0,AMZN
140.95,144.98,140.865,144.85,60465175.0,AMZN
10.7015,10.999,10.641,10.9055,71594420.0,AMZN
187.06,187.77,184.5373,187.23,27265108.0,AMZN
88.34,89.89,87.48,88.46,68086880.0,AMZN
82.445,83.284,82.2745,83.2635,63754740.0,AMZN
96.3155,97.85,91.0365,92.3045,196357000.0,AMZN
45.541,46.186,45.281,45.464,147937080.0,AMZN
29.938,29.98,29.454,29.5715,55912280.0,AMZN
174.83,177.99,173.72,176.82,34063283.0,AMZN
86.55,86.98,83.36,85.14,68885123.0,AMZN
84.912,85.4275,81.5005,81.8425,136124900.0,AMZN
78.875,79.7215,78.8335,79.364,51411440.0,AMZN
10.422,10.5615,10.365,10.411,79071820.0,AMZN
185.869,186.71,183.945,184.829,106561240.0,AMZN
94.475,95.36,93.78,94.13,72496388.0,AMZN
89.8745,89.987,88.2285,88.8145,61282940.0,AMZN
158.4,160.079,154.512,157.784,68136780.0,AMZN
31.5,31.8275,31.15,31.6495,41344080.0,AMZN
21.148,21.3745,20.957,21.274,45766500.0,AMZN
52.8505,55.279,52.5275,55.0475,331051960.0,AMZN
104.19,104.88,101.43,102.31,69728761.0,AMZN
14.8185,14.9835,14.6515,14.944,88667600.0,AMZN
12.161,12.2835,12.077,12.17,60969520.0,AMZN
30.384,30.8405,30.2645,30.741,79343120.0,AMZN
90.904,91.3,90.6305,90.806,56406060.0,AMZN
131.34,131.37,128.415,130.0,133307294.0,AMZN
171.714,172.734,171.1,172.208,47721580.0,AMZN
94.8045,95.125,94.167,94.373,64325140.0,AMZN
96.25,96.4845,94.908,95.0875,73515620.0,AMZN
56.237,56.53,55.875,56.1585,53688860.0,AMZN
21.479,21.6765,21.29,21.3435,39926560.0,AMZN
85.7,86.0435,85.426,85.7985,95552920.0,AMZN
144.75,150.36,144.301,149.574,78307440.0,AMZN
100.35,101.119,100.237,100.636,84087560.0,AMZN
144.57,147.74,144.57,146.71,45700002.0,AMZN
152.9,155.63,151.56,152.12,50322106.0,AMZN
35.6165,36.2115,35.566,36.1395,67027260.0,AMZN
148.12,149.46,146.82,148.84,52766196.0,AMZN
90.1965,90.765,89.7615,90.6515,87733580.0,AMZN
164.749,167.87,163.35,167.324,79856840.0,AMZN
18.0225,18.1435,17.725,17.809,45747540.0,AMZN
26.8495,27.2955,26.8,27.184,67762660.0,AMZN
97.025,97.0415,95.245,96.321,81136440.0,AMZN
157.888,158.35,150.95,151.808,167921620.0,AMZN
167.251,167.9,165.75,166.034,48251020.0,AMZN
41.1,41.1995,40.725,41.122,58057420.0,AMZN
153.692,155.099,150.383,150.788,55177440.0,AMZN
93.7,94.2,92.031,92.3445,73546120.0,AMZN
89.6515,90.245,87.2615,87.481,105557960.0,AMZN
11.7705,11.8875,11.7225,11.878,53225580.0,AMZN
9.5395,9.645,9.452,9.5465,112204840.0,AMZN
187.44,188.43,186.385,188.0,26136350.0,AMZN
14.861,14.998,14.83,14.9855,32922880.0,AMZN
93.68,96.21,92.18,92.25,56218705.0,AMZN
98.2175,99.651,97.2005,97.486,102472520.0,AMZN
33.6975,34.349,33.5705,33.9875,68234040.0,AMZN
80.798,80.877,78.9005,79.409,130637840.0,AMZN
177.795,180.82,176.13,179.62,43919765.0,AMZN
15.2005,15.532,15.1505,15.366,63244360.0,AMZN
98.69,100.4218,98.56,100.25,49783279.0,AMZN
189.33,191.0,185.33,185.57,50610379.0,AMZN
159.273,160.192,156.65,158.074,67137540.0,AMZN
88.0,88.155,85.878,86.511,98822960.0,AMZN
58.1855,58.8965,58.1225,58.713,62411680.0,AMZN
91.7945,92.088,90.8925,91.164,67393460.0,AMZN
19.899,19.989,19.4225,19.549,56911120.0,AMZN
16.2125,16.241,15.825,16.0205,118644660.0,AMZN
14.855,15.223,14.8375,15.0595,81918860.0,AMZN
83.25,85.78,82.9344,85.25,57433655.0,AMZN
82.8,83.48,81.69,81.82,58228575.0,AMZN
186.99,187.87,185.42,186.21,39172004.0,AMZN
88.1395,88.1685,86.575,86.992,71439040.0,AMZN
102.75,104.2,102.11,103.95,48662496.0,AMZN
19.525,19.705,19.0245,19.314,78852840.0,AMZN
68.6745,69.1745,63.2965,66.98,282597020.0,AMZN
130.31,131.26,128.83,130.8,54022847.0,AMZN
15.8325,15.914,15.275,15.804,107975660.0,AMZN
183.08,183.72,182.23,183.66,25456410.0,AMZN
139.97,140.32,137.1,137.85,50017349.0,AMZN
153.1,153.89,151.03,151.94,39823204.0,AMZN
112.16,112.64,109.3185,110.26,49852671.0,AMZN
78.8505,79.0595,75.168,75.6145,155799620.0,AMZN
164.45,165.459,162.797,164.163,56712340.0,AMZN
92.7265,93.486,92.3135,93.124,67549460.0,AMZN
11.196,11.231,10.9375,11.0655,59906760.0,AMZN
58.5,58.5435,58.0135,58.2065,51781280.0,AMZN
21.2075,21.3985,21.1335,21.363,45948000.0,AMZN
11.0655,11.3125,10.932,11.2615,87070000.0,AMZN
18.733,19.079,18.7325,19.06,52728000.0,AMZN
183.82,187.72,183.45,187.07,38698155.0,AMZN
13.487,14.005,13.4565,13.8435,92650780.0,AMZN
167.074,167.326,160.354,161.629,93203160.0,AMZN
101.55,103.04,101.01,102.0,53633398.0,AMZN
18.64,18.9285,18.5775,18.687,88044400.0,AMZN
93.825,94.7845,93.7725,94.3015,52686840.0,AMZN
103.95,104.2,101.52,102.3,39790518.0,AMZN
13.534,13.6365,13.465,13.595,46543080.0,AMZN
130.565,132.24,127.47,128.4,60961355.0,AMZN
163.75,164.629,161.905,162.315,40684060.0,AMZN
129.74,132.05,129.61,131.83,40741842.0,AMZN
149.574,149.675,145.369,145.524,68900560.0,AMZN
157.945,159.206,156.001,158.864,65580980.0,AMZN
37.299,37.668,36.985,37.6305,88152820.0,AMZN
164.15,165.827,162.32,163.56,57089500.0,AMZN
59.45,59.505,59.219,59.305,36792900.0,AMZN
79.0505,81.241,77.3255,80.972,168546740.0,AMZN
27.675,27.8,26.095,26.5535,191601300.0,AMZN
131.0,132.63,127.79,128.25,52610661.0,AMZN
178.175,179.288,174.6,175.354,80022140.0,AMZN
17.93,18.42,17.631,18.1695,240786300.0,AMZN
18.006,18.05,17.72,17.937,38809920.0,AMZN
108.461,108.819,103.95,107.557,107797360.0,AMZN
31.3565,31.4315,31.0205,31.4175,56302040.0,AMZN
88.473,88.917,86.5,88.618,137243200.0,AMZN
84.65,84.9755,84.576,84.9375,45184300.0,AMZN
14.7495,15.0345,14.605,14.983,80148020.0,AMZN
146.98,147.5999,145.53,147.03,42711682.0,AMZN
38.4,38.4945,38.066,38.126,63698740.0,AMZN
94.556,95.4945,94.174,94.9265,58217760.0,AMZN
26.349,27.3485,26.3285,26.9435,83389680.0,AMZN
158.394,158.722,154.4,155.21,81925180.0,AMZN
29.0535,29.07,28.5532,28.757,52275680.0,AMZN
156.422,159.498,156.104,158.294,66424880.0,AMZN
30.983,31.207,30.3,30.3525,104765860.0,AMZN
10.307,10.35,10.0155,10.058,124920040.0,AMZN
79.125,79.8,78.047,78.3065,109281700.0,AMZN
133.55,133.69,131.6199,131.69,42298925.0,AMZN
60.25,60.7935,60.233,60.482,60348520.0,AMZN
183.045,183.44,180.875,181.96,30204302.0,AMZN
140.99,142.54,138.95,142.22,71213112.0,AMZN
149.95,150.9,142.07,142.643,163971440.0,AMZN
99.79,100.66,97.455,98.95,87300242.0,AMZN
90.354,91.1995,90.205,91.1275,40661160.0,AMZN
16.39,16.7045,16.3355,16.6605,68410500.0,AMZN
148.5,153.15,147.354,153.104,84957680.0,AMZN
21.4725,21.65,21.3505,21.614,37768000.0,AMZN
17.9365,18.048,17.724,17.989,56062740.0,AMZN
117.08,118.79,116.26,117.31,55229190.0,AMZN
55.27,55.4485,54.837,55.184,75110220.0,AMZN
129.36,131.78,128.77,131.27,46017825.0,AMZN
92.8925,93.566,90.075,91.043,112936620.0,AMZN
30.0995,30.1695,28.939,29.1675,81763680.0,AMZN
154.21,162.96,151.61,161.02,83149437.0,AMZN
144.023,146.222,142.307,146.074,61874980.0,AMZN
82.816,83.65,79.8535,79.9505,129737820.0,AMZN
71.2515,71.924,70.1285,70.304,84164120.0,AMZN
26.998,27.541,26.99,27.5095,55504600.0,AMZN
102.04,102.6699,98.775,100.05,75878304.0,AMZN
179.94,180.323,176.18,176.59,34185109.0,AMZN
167.397,168.407,165.349,166.38,199311860.0,AMZN
179.9,182.87,179.8,182.41,31046638.0,AMZN
148.25,149.615,143.698,144.35,73078580.0,AMZN
86.1245,86.35,85.25,85.2755,52536800.0,AMZN
165.95,168.85,165.136,167.608,72416160.0,AMZN
181.388,181.897,179.001,179.996,110399040.0,AMZN
90.458,90.5125,89.7,90.0855,37710860.0,AMZN
15.695,15.9685,15.663,15.906,39814000.0,AMZN
92.1395,92.25,90.35,91.5865,105903540.0,AMZN
12.5535,12.718,12.503,12.588,52562460.0,AMZN
84.97,85.35,83.0,83.04,57284035.0,AMZN
92.5675,93.4885,92.4,93.152,60892360.0,AMZN
10.9305,10.971,10.833,10.924,57538080.0,AMZN
161.121,163.084,159.553,161.492,66537520.0,AMZN
18.5615,18.855,18.555,18.757,55720860.0,AMZN
116.69,118.6,116.335,118.15,73174087.0,AMZN
12.084,12.3435,12.068,12.287,73987940.0,AMZN
12.97,13.2915,12.843,13.1625,58160200.0,AMZN
107.43,112.13,107.02,108.95,60040131.0,AMZN
12.879,12.99,12.8325,12.9575,37494220.0,AMZN
140.1,142.86,139.6,140.8,50686865.0,AMZN
